catalog_id,heuristic,k,n_users,mean_rank,ndcg@5,ndcg@10,recall@5,recall@10
olist_all,pop_global,0,299,85.6120,0.09050,0.09526,0.13712,0.15050
olist_all,recency_pop_0.1,0,299,275.8328,0.06208,0.08623,0.09030,0.16388
olist_all,recency_pop_0.5,0,299,279.6187,0.08306,0.10149,0.12709,0.18395
olist_all,recency_pop_1.0,0,299,280.6589,0.06995,0.09858,0.10033,0.18729
olist_all,pop_category,0,299,84.4682,0.08491,0.09836,0.12040,0.16388
olist_all,pop_price,0,299,85.8930,0.09019,0.09758,0.13712,0.16054
olist_all,content_knn_1,0,299,,,,,
olist_all,content_knn_3,0,299,,,,,
olist_all,content_knn_5,0,299,,,,,
olist_all,last_item_nbhd,0,299,,,,,
olist_all,pop_scaled_content,0,299,,,,,
olist_all,co_purchase,0,299,,,,,
olist_all,lambda_hybrid_0.25,0,299,85.6120,0.09050,0.09526,0.13712,0.15050
olist_all,lambda_hybrid_0.5,0,299,85.6120,0.09050,0.09526,0.13712,0.15050
olist_all,lambda_hybrid_0.75,0,299,85.6120,0.09050,0.09526,0.13712,0.15050
olist_all,active_elic2,0,299,87.9264,0.03739,0.04794,0.05351,0.08696
olist_all,pop_global,1,299,926.9967,0.01177,0.01177,0.02007,0.02007
olist_all,recency_pop_0.1,1,299,935.2977,0.00355,0.00580,0.00669,0.01338
olist_all,recency_pop_0.5,1,299,935.4381,0.01101,0.01101,0.02007,0.02007
olist_all,recency_pop_1.0,1,299,935.4615,0.01101,0.01101,0.02007,0.02007
olist_all,pop_category,1,299,926.3746,0.01191,0.01191,0.02007,0.02007
olist_all,pop_price,1,299,926.7692,0.01446,0.01446,0.02007,0.02007
olist_all,content_knn_1,1,299,919.1605,0.02010,0.02122,0.03010,0.03344
olist_all,content_knn_3,1,299,917.5652,0.02010,0.02122,0.03010,0.03344
olist_all,content_knn_5,1,299,917.5786,0.02154,0.02266,0.03344,0.03679
olist_all,last_item_nbhd,1,299,918.2508,0.02010,0.02241,0.03010,0.03679
olist_all,pop_scaled_content,1,299,918.0569,0.02230,0.02468,0.03344,0.04013
olist_all,co_purchase,1,299,945.1973,0.03453,0.03453,0.04013,0.04013
olist_all,lambda_hybrid_0.25,1,299,916.3679,0.01441,0.02010,0.02341,0.04013
olist_all,lambda_hybrid_0.5,1,299,917.2742,0.02681,0.02995,0.04013,0.05017
olist_all,lambda_hybrid_0.75,1,299,917.2174,0.02928,0.03264,0.04013,0.05017
olist_all,active_elic2,1,299,,,,,
olist_all,pop_global,2,299,974.9799,0.00690,0.00690,0.01003,0.01003
olist_all,recency_pop_0.1,2,299,975.5585,0.00211,0.00322,0.00334,0.00669
olist_all,recency_pop_0.5,2,299,975.4615,0.00478,0.00575,0.00669,0.01003
olist_all,recency_pop_1.0,2,299,975.3813,0.00464,0.00565,0.00669,0.01003
olist_all,pop_category,2,299,974.6589,0.00713,0.00713,0.01003,0.01003
olist_all,pop_price,2,299,974.9532,0.00646,0.00646,0.01003,0.01003
olist_all,content_knn_1,2,299,970.3411,0.01358,0.01470,0.02007,0.02341
olist_all,content_knn_3,2,299,970.3411,0.01358,0.01470,0.02007,0.02341
olist_all,content_knn_5,2,299,970.3411,0.01358,0.01470,0.02007,0.02341
olist_all,last_item_nbhd,2,299,970.3411,0.01358,0.01470,0.02007,0.02341
olist_all,pop_scaled_content,2,299,970.8361,0.01153,0.01265,0.01672,0.02007
olist_all,co_purchase,2,299,984.6890,0.00422,0.00534,0.00669,0.01003
olist_all,lambda_hybrid_0.25,2,299,970.8094,0.00756,0.00973,0.01003,0.01672
olist_all,lambda_hybrid_0.5,2,299,970.5819,0.01321,0.01421,0.02007,0.02341
olist_all,lambda_hybrid_0.75,2,299,970.5619,0.01321,0.01426,0.02007,0.02341
olist_all,active_elic2,2,299,,,,,
olist_all,pop_global,3,152,969.0526,0.00283,0.00283,0.00658,0.00658
olist_all,recency_pop_0.1,3,152,971.6250,0.00255,0.00255,0.00658,0.00658
olist_all,recency_pop_0.5,3,152,971.5921,0.00283,0.00283,0.00658,0.00658
olist_all,recency_pop_1.0,3,152,971.5724,0.00255,0.00445,0.00658,0.01316
olist_all,pop_category,3,152,968.5395,0.00329,0.00536,0.00658,0.01316
olist_all,pop_price,3,152,969.2566,0.00329,0.00536,0.00658,0.01316
olist_all,content_knn_1,3,152,970.0066,0.01073,0.01073,0.01316,0.01316
olist_all,content_knn_3,3,152,970.0066,0.01073,0.01073,0.01316,0.01316
olist_all,content_knn_5,3,152,970.0066,0.01073,0.01073,0.01316,0.01316
olist_all,last_item_nbhd,3,152,970.0066,0.01073,0.01073,0.01316,0.01316
olist_all,pop_scaled_content,3,152,969.9934,0.00415,0.00649,0.00658,0.01316
olist_all,co_purchase,3,152,979.0526,0.01731,0.01731,0.01974,0.01974
olist_all,lambda_hybrid_0.25,3,152,967.6579,0.00415,0.00415,0.00658,0.00658
olist_all,lambda_hybrid_0.5,3,152,969.0395,0.00698,0.00906,0.01316,0.01974
olist_all,lambda_hybrid_0.75,3,152,969.0263,0.00698,0.00918,0.01316,0.01974
olist_all,active_elic2,3,152,,,,,
