catalog_id,origin,source,fold,n_items,n_users,sales_hhi,sales_norm_entropy,attr_entropy,mean_history_length,headroom
olist_all,real,olist_brazilian_ecommerce,confirm,1000,299,0.011661724979397662,0.7009086458715408,0.9013647029853348,4.090301003344481,0.003322366939272213
olist_furniture_decor,real,olist_brazilian_ecommerce,confirm,1000,124,0.01345637556341902,0.6534149043440097,0.49997985212835644,3.8548387096774195,0.0003229890249968782
syn_V1000_EHIGH_z0.5_e0.2_m10_s0,synthetic,inline_fallback,screen,1000,500,0.0020513513383918804,0.9486297070899327,1.4623608488733257,10.63,-0.023256642994656615
syn_V1000_EHIGH_z0.5_e0.2_m10_s1,synthetic,inline_fallback,screen,1000,500,0.002302623727237894,0.9425750608033394,1.4731506582196416,10.462,-0.03453713269054924
syn_V1000_EHIGH_z0.5_e0.2_m10_s2,synthetic,inline_fallback,screen,1000,500,0.0021849991222789114,0.9444890435634633,1.478473488273023,10.602,-0.026115261302842092
syn_V1000_EHIGH_z0.5_e0.2_m4_s0,synthetic,inline_fallback,screen,1000,500,0.0026938185683794405,0.9153964237188438,1.4623608488733257,4.846,-0.05068536835655789
syn_V1000_EHIGH_z0.5_e0.2_m4_s1,synthetic,inline_fallback,screen,1000,500,0.0026164152184311226,0.9162743288086348,1.4731506582196416,5.002,-0.04754189245616675
syn_V1000_EHIGH_z0.5_e0.2_m4_s2,synthetic,inline_fallback,screen,1000,500,0.0024210826283139184,0.9227328863726595,1.478473488273023,5.178,-0.03624612735485685
syn_V1000_EHIGH_z0.5_e0.6_m10_s0,synthetic,inline_fallback,screen,1000,500,0.0022821741258675114,0.9445449624615637,1.4623608488733257,10.396,-0.02148331287098363
syn_V1000_EHIGH_z0.5_e0.6_m10_s1,synthetic,inline_fallback,screen,1000,500,0.002310953243943775,0.9433507589611642,1.4731506582196416,10.98,-0.028029389190526027
syn_V1000_EHIGH_z0.5_e0.6_m10_s2,synthetic,inline_fallback,screen,1000,500,0.002159994394426629,0.9469258168042831,1.478473488273023,10.716,-0.032067721290719185
syn_V1000_EHIGH_z0.5_e0.6_m4_s0,synthetic,inline_fallback,screen,1000,500,0.002502717805854518,0.9131227389837072,1.4623608488733257,4.812,-0.03423365536855985
syn_V1000_EHIGH_z0.5_e0.6_m4_s1,synthetic,inline_fallback,screen,1000,500,0.0026734621368317353,0.9106590567491676,1.4731506582196416,4.838,-0.03849768896868315
