catalog_id,n_items,entropy,zipf_s,seed,phi_nominal,phi_effective,phi_capped,headroom,headroom_lo,headroom_hi,headroom_full,headroom_full_lo,headroom_full_hi,delta_vs_phi0,delta_lo,delta_hi,delta_dominant,winner_per_k,overtake_any,overtake_detail,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,inner_cells_used
phi_V100_EHIGH_z0.5_p0.25_s0,100,HIGH,0.5,0,0.25,0.25,False,-0.193233,-0.204691,-0.181900,-0.192365,-0.202035,-0.183171,0.001732,-0.018277,0.021062,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.005032,0.008211,-0.002349,0.001613,5
phi_V100_EHIGH_z0.5_p0.25_s1,100,HIGH,0.5,1,0.25,0.25,False,-0.225285,-0.237063,-0.213579,-0.229770,-0.240047,-0.219174,-0.001586,-0.021967,0.019692,false,0:active_elic2;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.004093,0.004885,-0.002265,0.000836,5
phi_V100_EHIGH_z0.5_p0.5_s0,100,HIGH,0.5,0,0.5,0.5,False,-0.191712,-0.202836,-0.180342,-0.190210,-0.199677,-0.180785,0.003888,-0.015919,0.023448,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.5,False,,0.008211,0.012184,-0.007782,0.009175,5
phi_V100_EHIGH_z0.5_p0.5_s1,100,HIGH,0.5,1,0.5,0.5,False,-0.224646,-0.235824,-0.212855,-0.229693,-0.240443,-0.219344,-0.001509,-0.022363,0.019522,false,0:active_elic2;1:pop_category;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.013467,0.017824,-0.015316,0.008823,5
phi_V100_EHIGH_z0.5_p0.5_s2,100,HIGH,0.5,2,0.5,0.5,False,-0.244215,-0.257538,-0.230909,-0.240044,-0.252070,-0.228571,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.010258,0.007759,-0.007703,0.010372,5
phi_V100_EHIGH_z0.5_p0_s0,100,HIGH,0.5,0,0.0,0.0,False,-0.197107,-0.208096,-0.185651,-0.194098,-0.204233,-0.183758,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V100_EHIGH_z0.5_p0_s1,100,HIGH,0.5,1,0.0,0.0,False,-0.225023,-0.237187,-0.213517,-0.228184,-0.238866,-0.218080,,,,,0:active_elic2;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V100_EHIGH_z0.5_p1_s0,100,HIGH,0.5,0,1.0,0.6944,True,-0.185528,-0.196908,-0.174178,-0.183386,-0.193714,-0.173507,0.010712,-0.009956,0.030726,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.5,False,,0.013111,0.019997,-0.013959,0.018619,5
phi_V100_EHIGH_z0.5_p1_s1,100,HIGH,0.5,1,1.0,0.7984,True,-0.207452,-0.218592,-0.196321,-0.208814,-0.218665,-0.199467,0.019370,-0.000585,0.039400,false,0:active_elic2;1:pop_category;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.021125,0.019937,0.001553,0.003376,5
phi_V100_EHIGH_z1.5_p0.25_s0,100,HIGH,1.5,0,0.25,0.25,False,-0.132289,-0.144030,-0.120544,-0.131601,-0.142565,-0.121234,0.004336,-0.017176,0.024617,false,0:pop_global;1:pop_global;2:lambda_hybrid_0.25;3:pop_global;5:pop_category;8:recency_pop_0.5,False,,0.003311,0.006092,0.000461,-0.003881,5
