catalog_id,k,heuristic,ndcg5,ci_lo,ci_hi
phi_V100_EHIGH_z0.5_p0.25_s0,0,pop_global,0.764743,0.743962,0.785434
phi_V100_EHIGH_z0.5_p0.25_s0,0,recency_pop_0.1,0.034912,0.026189,0.043776
phi_V100_EHIGH_z0.5_p0.25_s0,0,recency_pop_0.5,0.052222,0.039862,0.065705
phi_V100_EHIGH_z0.5_p0.25_s0,0,recency_pop_1.0,0.052908,0.041352,0.066165
phi_V100_EHIGH_z0.5_p0.25_s0,0,pop_category,0.734560,0.710765,0.758052
phi_V100_EHIGH_z0.5_p0.25_s0,0,pop_price,0.759268,0.735002,0.780307
phi_V100_EHIGH_z0.5_p0.25_s0,0,lambda_hybrid_0.25,0.764743,0.744397,0.784720
phi_V100_EHIGH_z0.5_p0.25_s0,0,lambda_hybrid_0.5,0.764743,0.743159,0.786207
phi_V100_EHIGH_z0.5_p0.25_s0,0,lambda_hybrid_0.75,0.764743,0.744341,0.784365
phi_V100_EHIGH_z0.5_p0.25_s0,0,active_elic2,0.734560,0.711334,0.758460
phi_V100_EHIGH_z0.5_p0.25_s0,1,pop_global,0.433437,0.404620,0.460531
phi_V100_EHIGH_z0.5_p0.25_s0,1,recency_pop_0.1,0.118345,0.101880,0.134889
phi_V100_EHIGH_z0.5_p0.25_s0,1,recency_pop_0.5,0.202367,0.181519,0.224917
phi_V100_EHIGH_z0.5_p0.25_s0,1,recency_pop_1.0,0.203606,0.181857,0.224465
phi_V100_EHIGH_z0.5_p0.25_s0,1,pop_category,0.416018,0.389136,0.444482
phi_V100_EHIGH_z0.5_p0.25_s0,1,pop_price,0.421547,0.394802,0.450855
phi_V100_EHIGH_z0.5_p0.25_s0,1,content_knn_1,0.069835,0.058642,0.082951
phi_V100_EHIGH_z0.5_p0.25_s0,1,content_knn_3,0.097591,0.080155,0.114762
phi_V100_EHIGH_z0.5_p0.25_s0,1,content_knn_5,0.077511,0.063380,0.093800
phi_V100_EHIGH_z0.5_p0.25_s0,1,last_item_nbhd,0.058951,0.047618,0.070261
phi_V100_EHIGH_z0.5_p0.25_s0,1,pop_scaled_content,0.421928,0.393281,0.449218
phi_V100_EHIGH_z0.5_p0.25_s0,1,co_purchase,0.009915,0.004704,0.015277
phi_V100_EHIGH_z0.5_p0.25_s0,1,lambda_hybrid_0.25,0.415116,0.386632,0.441971
phi_V100_EHIGH_z0.5_p0.25_s0,1,lambda_hybrid_0.5,0.403869,0.374578,0.432851
phi_V100_EHIGH_z0.5_p0.25_s0,1,lambda_hybrid_0.75,0.317156,0.291267,0.342099
phi_V100_EHIGH_z0.5_p0.25_s0,2,pop_global,0.355735,0.330530,0.384663
phi_V100_EHIGH_z0.5_p0.25_s0,2,recency_pop_0.1,0.232443,0.210676,0.257699
phi_V100_EHIGH_z0.5_p0.25_s0,2,recency_pop_0.5,0.274318,0.249811,0.300428
phi_V100_EHIGH_z0.5_p0.25_s0,2,recency_pop_1.0,0.275211,0.249652,0.299512
phi_V100_EHIGH_z0.5_p0.25_s0,2,pop_category,0.332696,0.305961,0.360860
phi_V100_EHIGH_z0.5_p0.25_s0,2,pop_price,0.333606,0.305163,0.362392
phi_V100_EHIGH_z0.5_p0.25_s0,2,content_knn_1,0.046500,0.037364,0.057047
phi_V100_EHIGH_z0.5_p0.25_s0,2,content_knn_3,0.073186,0.060476,0.085883
phi_V100_EHIGH_z0.5_p0.25_s0,2,content_knn_5,0.041609,0.031112,0.051922
phi_V100_EHIGH_z0.5_p0.25_s0,2,last_item_nbhd,0.045618,0.036005,0.056567
phi_V100_EHIGH_z0.5_p0.25_s0,2,pop_scaled_content,0.353133,0.325508,0.381054
phi_V100_EHIGH_z0.5_p0.25_s0,2,co_purchase,0.003047,0.000774,0.006144
phi_V100_EHIGH_z0.5_p0.25_s0,2,lambda_hybrid_0.25,0.344108,0.316369,0.373963
phi_V100_EHIGH_z0.5_p0.25_s0,2,lambda_hybrid_0.5,0.340499,0.313963,0.369171
phi_V100_EHIGH_z0.5_p0.25_s0,2,lambda_hybrid_0.75,0.213445,0.191898,0.235058
phi_V100_EHIGH_z0.5_p0.25_s0,3,pop_global,0.241010,0.216510,0.266586
phi_V100_EHIGH_z0.5_p0.25_s0,3,recency_pop_0.1,0.207363,0.184842,0.230899
phi_V100_EHIGH_z0.5_p0.25_s0,3,recency_pop_0.5,0.220979,0.200000,0.245628
phi_V100_EHIGH_z0.5_p0.25_s0,3,recency_pop_1.0,0.221182,0.198206,0.246117
phi_V100_EHIGH_z0.5_p0.25_s0,3,pop_category,0.217514,0.193331,0.243284
phi_V100_EHIGH_z0.5_p0.25_s0,3,pop_price,0.224677,0.200839,0.249058
phi_V100_EHIGH_z0.5_p0.25_s0,3,content_knn_1,0.039337,0.030135,0.048132
phi_V100_EHIGH_z0.5_p0.25_s0,3,content_knn_3,0.049870,0.037391,0.061473
phi_V100_EHIGH_z0.5_p0.25_s0,3,content_knn_5,0.033862,0.025408,0.042560
phi_V100_EHIGH_z0.5_p0.25_s0,3,last_item_nbhd,0.032982,0.024466,0.041988
phi_V100_EHIGH_z0.5_p0.25_s0,3,pop_scaled_content,0.238072,0.214533,0.264292
phi_V100_EHIGH_z0.5_p0.25_s0,3,co_purchase,0.004040,0.001010,0.009091
phi_V100_EHIGH_z0.5_p0.25_s0,3,lambda_hybrid_0.25,0.229111,0.205345,0.252363
phi_V100_EHIGH_z0.5_p0.25_s0,3,lambda_hybrid_0.5,0.220364,0.195161,0.247112
phi_V100_EHIGH_z0.5_p0.25_s0,3,lambda_hybrid_0.75,0.123942,0.106397,0.142597
phi_V100_EHIGH_z0.5_p0.25_s0,5,pop_global,0.141432,0.122390,0.163089
phi_V100_EHIGH_z0.5_p0.25_s0,5,recency_pop_0.1,0.133391,0.113492,0.155072
phi_V100_EHIGH_z0.5_p0.25_s0,5,recency_pop_0.5,0.137117,0.117915,0.156457
phi_V100_EHIGH_z0.5_p0.25_s0,5,recency_pop_1.0,0.137117,0.119115,0.159789
phi_V100_EHIGH_z0.5_p0.25_s0,5,pop_category,0.126624,0.107644,0.147070
phi_V100_EHIGH_z0.5_p0.25_s0,5,pop_price,0.137712,0.117119,0.158015
phi_V100_EHIGH_z0.5_p0.25_s0,5,content_knn_1,0.019397,0.013235,0.026115
phi_V100_EHIGH_z0.5_p0.25_s0,5,content_knn_3,0.028466,0.019902,0.037782
phi_V100_EHIGH_z0.5_p0.25_s0,5,content_knn_5,0.018270,0.012285,0.024545
phi_V100_EHIGH_z0.5_p0.25_s0,5,last_item_nbhd,0.022002,0.015317,0.029767
phi_V100_EHIGH_z0.5_p0.25_s0,5,pop_scaled_content,0.140976,0.122258,0.160644
phi_V100_EHIGH_z0.5_p0.25_s0,5,co_purchase,0.004969,0.001073,0.009664
phi_V100_EHIGH_z0.5_p0.25_s0,5,lambda_hybrid_0.25,0.132058,0.112573,0.153579
phi_V100_EHIGH_z0.5_p0.25_s0,5,lambda_hybrid_0.5,0.122887,0.105217,0.144397
phi_V100_EHIGH_z0.5_p0.25_s0,5,lambda_hybrid_0.75,0.069816,0.056027,0.083265
phi_V100_EHIGH_z0.5_p0.25_s0,8,pop_global,0.061071,0.046002,0.077209
phi_V100_EHIGH_z0.5_p0.25_s0,8,recency_pop_0.1,0.061214,0.043894,0.078678
phi_V100_EHIGH_z0.5_p0.25_s0,8,recency_pop_0.5,0.059780,0.045040,0.076490
phi_V100_EHIGH_z0.5_p0.25_s0,8,recency_pop_1.0,0.059780,0.044168,0.075585
phi_V100_EHIGH_z0.5_p0.25_s0,8,pop_category,0.051950,0.036931,0.068093
phi_V100_EHIGH_z0.5_p0.25_s0,8,pop_price,0.052497,0.037246,0.069044
phi_V100_EHIGH_z0.5_p0.25_s0,8,content_knn_1,0.015421,0.008933,0.022538
phi_V100_EHIGH_z0.5_p0.25_s0,8,content_knn_3,0.021785,0.013146,0.031338
phi_V100_EHIGH_z0.5_p0.25_s0,8,content_knn_5,0.017440,0.010339,0.025135
phi_V100_EHIGH_z0.5_p0.25_s0,8,last_item_nbhd,0.017756,0.010759,0.025960
phi_V100_EHIGH_z0.5_p0.25_s0,8,pop_scaled_content,0.060755,0.045011,0.076424
phi_V100_EHIGH_z0.5_p0.25_s0,8,co_purchase,0.007157,0.001740,0.014073
phi_V100_EHIGH_z0.5_p0.25_s0,8,lambda_hybrid_0.25,0.058676,0.042291,0.075816
phi_V100_EHIGH_z0.5_p0.25_s0,8,lambda_hybrid_0.5,0.054984,0.040177,0.071208
phi_V100_EHIGH_z0.5_p0.25_s0,8,lambda_hybrid_0.75,0.036140,0.024743,0.049503
phi_V100_EHIGH_z0.5_p0.25_s1,0,pop_global,0.757393,0.735895,0.779777
phi_V100_EHIGH_z0.5_p0.25_s1,0,recency_pop_0.1,0.037845,0.027838,0.048062
phi_V100_EHIGH_z0.5_p0.25_s1,0,recency_pop_0.5,0.047424,0.036025,0.059374
phi_V100_EHIGH_z0.5_p0.25_s1,0,recency_pop_1.0,0.047424,0.036219,0.058633
phi_V100_EHIGH_z0.5_p0.25_s1,0,pop_category,0.757393,0.736055,0.778959
phi_V100_EHIGH_z0.5_p0.25_s1,0,pop_price,0.754028,0.732140,0.775648
phi_V100_EHIGH_z0.5_p0.25_s1,0,lambda_hybrid_0.25,0.757393,0.735612,0.776374
phi_V100_EHIGH_z0.5_p0.25_s1,0,lambda_hybrid_0.5,0.757393,0.734950,0.778956
phi_V100_EHIGH_z0.5_p0.25_s1,0,lambda_hybrid_0.75,0.757393,0.735397,0.778175
phi_V100_EHIGH_z0.5_p0.25_s1,0,active_elic2,0.827812,0.806253,0.847006
phi_V100_EHIGH_z0.5_p0.25_s1,1,pop_global,0.418585,0.390278,0.444385
phi_V100_EHIGH_z0.5_p0.25_s1,1,recency_pop_0.1,0.060697,0.046927,0.075294
phi_V100_EHIGH_z0.5_p0.25_s1,1,recency_pop_0.5,0.197541,0.175346,0.220617
phi_V100_EHIGH_z0.5_p0.25_s1,1,recency_pop_1.0,0.206550,0.185419,0.231075
phi_V100_EHIGH_z0.5_p0.25_s1,1,pop_category,0.418198,0.389085,0.447772
phi_V100_EHIGH_z0.5_p0.25_s1,1,pop_price,0.410187,0.383718,0.437147
phi_V100_EHIGH_z0.5_p0.25_s1,1,content_knn_1,0.043774,0.035106,0.053089
phi_V100_EHIGH_z0.5_p0.25_s1,1,content_knn_3,0.050382,0.040427,0.060185
phi_V100_EHIGH_z0.5_p0.25_s1,1,content_knn_5,0.046818,0.037477,0.055888
phi_V100_EHIGH_z0.5_p0.25_s1,1,last_item_nbhd,0.047010,0.038684,0.055951
phi_V100_EHIGH_z0.5_p0.25_s1,1,pop_scaled_content,0.365944,0.340301,0.392388
phi_V100_EHIGH_z0.5_p0.25_s1,1,co_purchase,0.017020,0.010470,0.023438
phi_V100_EHIGH_z0.5_p0.25_s1,1,lambda_hybrid_0.25,0.384931,0.357932,0.413246
phi_V100_EHIGH_z0.5_p0.25_s1,1,lambda_hybrid_0.5,0.305020,0.278937,0.331834
phi_V100_EHIGH_z0.5_p0.25_s1,1,lambda_hybrid_0.75,0.105901,0.089891,0.122703
