catalog_id,origin,source,fold,n_items,n_users,sales_hhi,sales_norm_entropy,attr_entropy,mean_history_length,headroom
olist_all,real,olist_brazilian_ecommerce,confirm,1000,299,0.011661724979397662,0.7009086458715408,0.9013647029853348,4.090301003344481,0.003322366939272213
olist_furniture_decor,real,olist_brazilian_ecommerce,confirm,1000,124,0.01345637556341902,0.6534149043440097,0.49997985212835644,3.8548387096774195,0.0003229890249968782
phi_V100_EHIGH_z0.5_p0.25_s0,synthetic,latent_intent_model,confirm,100,1000,0.34822501564034586,0.3368132018961516,0.9726995512565525,9.933,-0.1931032169067864
phi_V100_EHIGH_z0.5_p0.25_s1,synthetic,latent_intent_model,screen,100,1000,0.31900082202752056,0.3874655196167894,0.9369406823663239,9.973,-0.2251101267419359
phi_V100_EHIGH_z0.5_p0.5_s0,synthetic,latent_intent_model,screen,100,1000,0.34279181616217075,0.3443756996936925,0.9726995512565525,9.933,-0.19139036458741904
phi_V100_EHIGH_z0.5_p0.5_s1,synthetic,latent_intent_model,confirm,100,1000,0.3059498713128433,0.3954521779594175,0.9369406823663239,9.973,-0.22451360727413266
phi_V100_EHIGH_z0.5_p0.5_s2,synthetic,latent_intent_model,confirm,100,1000,0.3059312065052834,0.37868480052304193,0.9483492287140299,9.994,-0.24388791424127038
phi_V100_EHIGH_z0.5_p0_s0,synthetic,latent_intent_model,screen,100,1000,0.35057379913265735,0.33520049304161287,0.9726995512565525,9.933,-0.19728504772039543
phi_V100_EHIGH_z0.5_p0_s1,synthetic,latent_intent_model,screen,100,1000,0.3212654942495379,0.38662939915043953,0.9369406823663239,9.973,-0.22473282209527504
phi_V100_EHIGH_z0.5_p1_s0,synthetic,latent_intent_model,confirm,100,1000,0.33661446050667765,0.3538199215903597,0.9726995512565525,9.933,-0.18542109183647237
phi_V100_EHIGH_z0.5_p1_s1,synthetic,latent_intent_model,confirm,100,1000,0.32281799596677274,0.3900058246115185,0.9369406823663239,9.973,-0.20729086933125568
phi_V100_EHIGH_z1.5_p0.25_s0,synthetic,latent_intent_model,confirm,100,1000,0.030885041971513323,0.8931947746792114,0.9726995512565525,9.933,-0.1321394437137609
phi_V100_EHIGH_z1.5_p0.25_s1,synthetic,latent_intent_model,screen,100,1000,0.02258815040600378,0.9090561632891809,0.9369406823663239,9.973,-0.12559080630431724
