phi_effective,n_cells,n_build_label,acc_lr,acc_always_pop,acc_always_build,acc_size_rule,acc_hhi_rule,fn_lr_concentrated,first_failure_phi
0.0,24,0,,1.000000,0.000000,0.333333,0.958333,,
0.25,24,0,,1.000000,0.000000,0.333333,1.000000,,
0.3713,2,0,,1.000000,0.000000,0.000000,1.000000,,
0.3802,2,0,,1.000000,0.000000,1.000000,1.000000,,
0.4167,1,0,,1.000000,0.000000,1.000000,1.000000,,
0.4187,1,0,,1.000000,0.000000,0.000000,1.000000,,
0.431,1,0,,1.000000,0.000000,1.000000,1.000000,,
0.4345,1,0,,1.000000,0.000000,1.000000,1.000000,,
0.445,2,0,,1.000000,0.000000,1.000000,1.000000,,
0.5,31,0,,1.000000,0.000000,0.290323,1.000000,,
0.5104,1,0,,1.000000,0.000000,1.000000,1.000000,,
0.5294,1,0,,1.000000,0.000000,0.000000,1.000000,,
0.5783,1,0,,1.000000,0.000000,0.000000,1.000000,,
0.6011,1,0,,1.000000,0.000000,1.000000,1.000000,,
0.6944,1,0,,1.000000,0.000000,0.000000,1.000000,,
0.7155,1,0,,1.000000,0.000000,1.000000,1.000000,,
0.7521,1,0,,1.000000,0.000000,0.000000,1.000000,,
0.7984,1,0,,1.000000,0.000000,0.000000,1.000000,,
0.8163,1,0,,1.000000,0.000000,1.000000,1.000000,,
0.9418,1,0,,1.000000,0.000000,0.000000,1.000000,,
0.9711,1,0,,1.000000,0.000000,0.000000,1.000000,,
1.0,8,0,,1.000000,0.000000,0.000000,1.000000,,
