catalog_id,n_items,entropy,zipf_s,phi_nominal,phi_effective,phi_capped,seed,tighten_used,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,gate_pass
phi_V20_ELOW_z0.5_p0_s0,20,LOW,0.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V20_ELOW_z0.5_p0_s1,20,LOW,0.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V20_ELOW_z0.5_p0.25_s0,20,LOW,0.5,0.25,0.25,False,0,0,0.004191484667990283,0.00397088021178027,-0.006503086491400745,0.008888096028146275,True
phi_V20_ELOW_z0.5_p0.25_s1,20,LOW,0.5,0.25,0.25,False,1,0,0.004363953742090337,0.003709360680776791,-0.00444698598435761,0.007512879689122343,True
phi_V20_ELOW_z0.5_p0.5_s0,20,LOW,0.5,0.5,0.38018798828125,True,0,1,0.007279947054930486,0.012795058460180808,-0.019677839627811444,0.019944741580370073,True
phi_V20_ELOW_z0.5_p0.5_s1,20,LOW,0.5,0.5,0.5,False,1,0,0.0133100589133755,0.013310058913375528,-0.01768301098906022,0.02423900121553141,True
phi_V20_ELOW_z0.5_p1_s0,20,LOW,0.5,1.0,0.38018798828125,True,0,1,0.007279947054930486,0.012795058460180808,-0.019677839627811444,0.019944741580370073,True
phi_V20_ELOW_z0.5_p1_s1,20,LOW,0.5,1.0,0.43096923828125,True,1,1,0.013746454287584559,0.014619245036002648,-0.01977652805154334,0.025234590174056326,True
phi_V20_ELOW_z1.5_p0_s0,20,LOW,1.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V20_ELOW_z1.5_p0_s1,20,LOW,1.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V20_ELOW_z1.5_p0.25_s0,20,LOW,1.5,0.25,0.25,False,0,0,0.007279947054930458,0.007059342598720486,-0.004108995245251268,0.00596764301414654,True
phi_V20_ELOW_z1.5_p0.25_s1,20,LOW,1.5,0.25,0.25,False,1,0,0.006764128300240035,0.006109535238926461,-0.0018786044812939273,0.002826956890599308,True
phi_V20_ELOW_z1.5_p0.5_s0,20,LOW,1.5,0.5,0.5,False,0,0,0.018310169865431214,0.019633796602691378,-0.010680311925843816,0.013041709564559523,True
phi_V20_ELOW_z1.5_p0.5_s1,20,LOW,1.5,0.5,0.5,False,1,0,0.007855116735762668,0.010691686668121314,-0.003842621716387856,0.005640920397466553,True
phi_V20_ELOW_z1.5_p1_s0,20,LOW,1.5,1.0,0.43450927734375,True,0,1,0.016986543128171105,0.01985440105890135,-0.010657146754620317,0.013325427302767201,True
phi_V20_ELOW_z1.5_p1_s1,20,LOW,1.5,1.0,0.71551513671875,True,1,1,0.01069168666812137,0.01985598952651102,-0.008348739607222253,0.014700534530827869,True
phi_V20_EHIGH_z0.5_p0_s0,20,HIGH,0.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V20_EHIGH_z0.5_p0_s1,20,HIGH,0.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V20_EHIGH_z0.5_p0.25_s0,20,HIGH,0.5,0.25,0.25,False,0,0,0.006397529230090515,0.003970880211780277,0.00036928008244463406,-0.00112367474745656,True
phi_V20_EHIGH_z0.5_p0.25_s1,20,HIGH,0.5,0.25,0.25,False,1,0,0.0080733144228671,0.0056731398647175135,-0.007169243752907006,0.008677624700103581,True
phi_V20_EHIGH_z0.5_p0.5_s0,20,HIGH,0.5,0.5,0.5,False,0,0,0.01191264063534081,0.005515111405250385,-0.00499209439865661,0.00682516813259848,True
phi_V20_EHIGH_z0.5_p0.5_s1,20,HIGH,0.5,0.5,0.44500732421875,True,1,1,0.024219943268601357,0.016801221907047803,-0.019999248710560136,0.0206219488922465,True
phi_V20_EHIGH_z0.5_p1_s0,20,HIGH,0.5,1.0,0.60113525390625,True,0,1,0.016324729759541134,0.019854401058901405,-0.018693611848770886,0.026848663102667314,True
phi_V20_EHIGH_z0.5_p1_s1,20,HIGH,0.5,1.0,0.44500732421875,True,1,1,0.024219943268601357,0.016801221907047803,-0.019999248710560136,0.0206219488922465,True
phi_V20_EHIGH_z1.5_p0_s0,20,HIGH,1.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V20_EHIGH_z1.5_p0_s1,20,HIGH,1.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V20_EHIGH_z1.5_p0.25_s0,20,HIGH,1.5,0.25,0.25,False,0,0,0.007059342598720431,0.006838738142510459,-0.0038334465068746715,0.004237255390989958,True
phi_V20_EHIGH_z1.5_p0.25_s1,20,HIGH,1.5,0.25,0.25,False,1,0,0.0067641283002401464,0.004363953742090334,-0.0003608855483858142,7.722567538748226e-05,True
phi_V20_EHIGH_z1.5_p0.5_s0,20,HIGH,1.5,0.5,0.5,False,0,0,0.011250827266710728,0.01720714758438119,-0.009119096184564857,0.011063994393501475,True
