catalog_id,n_items,n_users,regenerated_sha256,it1_pool_sha256,byte_identical
synth_v20_s0,20,600,39159eb4a2e9c93ca98a3e6a9e2a25b417ef8be6ae80e3fffaca3265b68bbb80,39159eb4a2e9c93ca98a3e6a9e2a25b417ef8be6ae80e3fffaca3265b68bbb80,True
synth_v50_s0,50,600,f849b8def8853ff366a2d99aa9afac1a311b911f155edac1416ad8dc77b849e4,f849b8def8853ff366a2d99aa9afac1a311b911f155edac1416ad8dc77b849e4,True
synth_v200_s0,200,1200,8c1627c5f44e90e93c5a6cb4f297e4e300dcf31524224cacb3ed8aee0fd1bf5a,8c1627c5f44e90e93c5a6cb4f297e4e300dcf31524224cacb3ed8aee0fd1bf5a,True
synth_v200_s1,200,1200,7548d5134285ca9478c382e0282b49a81f88fabebf2a4df2e3862969aae990e1,7548d5134285ca9478c382e0282b49a81f88fabebf2a4df2e3862969aae990e1,True
synth_v200_s2,200,1200,c9cd4252d9e2115d43cfaa29fadcd346a8f5598c9d8c3a7a6f67ad456322722b,c9cd4252d9e2115d43cfaa29fadcd346a8f5598c9d8c3a7a6f67ad456322722b,True
synth_v200_s3,200,1200,6c854c0e119f381d57aae2597cecbd2e4b5a8df4db10b1c686b175939304daf7,6c854c0e119f381d57aae2597cecbd2e4b5a8df4db10b1c686b175939304daf7,True
synth_v1000_s0,1000,2500,7fda7bb1ce358e3363fad3ae514713573359fbbcb2b0d44d017d264369f8c531,7fda7bb1ce358e3363fad3ae514713573359fbbcb2b0d44d017d264369f8c531,True
synth_v1000_s1,1000,2500,906f84c5b1977fecd87e3e13f0e76760bc3aa2d1129aac0b441023a97e099c42,906f84c5b1977fecd87e3e13f0e76760bc3aa2d1129aac0b441023a97e099c42,True
synth_v1000_s2,1000,2500,dc1b61282632f09f98ab02bf6fcddfcb37daa42de48f48810bb2b284471dcc62,dc1b61282632f09f98ab02bf6fcddfcb37daa42de48f48810bb2b284471dcc62,True
synth_zipf05_s0,200,1200,c93761285b3c768935b82564a8a0e74572582376e48a4157d97183c4e2808b9d,c93761285b3c768935b82564a8a0e74572582376e48a4157d97183c4e2808b9d,True
synth_zipf15_s0,200,1200,e72641f2af28453ae824f6107fe8162991c5961a89feb6da034d5444e7c33c9c,e72641f2af28453ae824f6107fe8162991c5961a89feb6da034d5444e7c33c9c,True
synth_zipf20_s0,200,1200,717cb7c6ba0823ce5be4081bc1318e44d2c302759dc7595e7a560d6999155395,717cb7c6ba0823ce5be4081bc1318e44d2c302759dc7595e7a560d6999155395,True
synth_zipf20_s1,200,1200,8dc8ccf5f87c179cf6e8435e6faa7d5f759b78454a86b28f1685fb9476c496d2,8dc8ccf5f87c179cf6e8435e6faa7d5f759b78454a86b28f1685fb9476c496d2,True
synth_attr_many_s0,200,1200,066380a16c439c8f6153f56e7ad50003c9a833c63f7e2d02c6f702501baf8da1,066380a16c439c8f6153f56e7ad50003c9a833c63f7e2d02c6f702501baf8da1,True
synth_attr_hetero_s0,200,1200,555752d7b4d919631a4864c24762a370e975f76fd3e670740e5d358d137e87eb,555752d7b4d919631a4864c24762a370e975f76fd3e670740e5d358d137e87eb,True
synth_stick_low_s0,200,1200,196631771467b6cbd5a13c119fbb834d27ca823b4ac492c0208a726e8585359f,196631771467b6cbd5a13c119fbb834d27ca823b4ac492c0208a726e8585359f,True
synth_hist_short_s0,200,1200,e37e39a90051957b89cc4857622aaf0d242ae33bf57d3c00cd73b0c2f307c533,e37e39a90051957b89cc4857622aaf0d242ae33bf57d3c00cd73b0c2f307c533,True
synth_hist_long_s0,200,1200,4f129e24115f372096d8bc9c229be5bbb92c68c671bbf47a2ac89a1a7b068d86,4f129e24115f372096d8bc9c229be5bbb92c68c671bbf47a2ac89a1a7b068d86,True
synth_tstat_s0,200,1200,1ad357f7369bec4b132dcfdee83ca58f524bb137cd1ec4d7b7230cd69b559b2e,1ad357f7369bec4b132dcfdee83ca58f524bb137cd1ec4d7b7230cd69b559b2e,True
