catalog_id,heuristic,k,published_ndcg5,mine_ndcg5,delta,pass_1e6,pass_print5
olist_all,pop_global,0,0.0905000,0.0904975,-2.535e-06,False,True
olist_all,recency_pop_0.1,0,0.0620800,0.0620790,-9.618e-07,True,True
olist_all,recency_pop_0.5,0,0.0830600,0.0830631,3.053e-06,False,True
olist_all,recency_pop_1.0,0,0.0699500,0.0699543,4.263e-06,False,True
olist_all,pop_category,0,0.0849100,0.0849078,-2.239e-06,False,True
olist_all,pop_price,0,0.0901900,0.0901918,1.806e-06,False,True
olist_all,lambda_hybrid_0.25,0,0.0905000,0.0904975,-2.535e-06,False,True
olist_all,lambda_hybrid_0.5,0,0.0905000,0.0904975,-2.535e-06,False,True
olist_all,lambda_hybrid_0.75,0,0.0905000,0.0904975,-2.535e-06,False,True
olist_all,active_elic2,0,0.0373900,0.0373858,-4.244e-06,False,True
olist_all,pop_global,1,0.0117700,0.0117652,-4.841e-06,False,True
olist_all,recency_pop_0.1,1,0.0035500,0.0035505,5.228e-07,True,True
olist_all,recency_pop_0.5,1,0.0110100,0.0110101,1.327e-07,True,True
olist_all,recency_pop_1.0,1,0.0110100,0.0110101,1.327e-07,True,True
olist_all,pop_category,1,0.0119100,0.0119117,1.727e-06,False,True
olist_all,pop_price,1,0.0144600,0.0144598,-2.481e-07,True,True
olist_all,content_knn_1,1,0.0201000,0.0201006,5.533e-07,True,True
olist_all,content_knn_3,1,0.0201000,0.0201006,5.533e-07,True,True
olist_all,content_knn_5,1,0.0215400,0.0215409,9.431e-07,True,True
olist_all,last_item_nbhd,1,0.0201000,0.0201006,5.533e-07,True,True
olist_all,pop_scaled_content,1,0.0223000,0.0222960,-4.031e-06,False,True
olist_all,co_purchase,1,0.0345300,0.0345266,-3.358e-06,False,True
olist_all,lambda_hybrid_0.25,1,0.0144100,0.0144141,4.088e-06,False,True
olist_all,lambda_hybrid_0.5,1,0.0268100,0.0268094,-6.292e-07,True,True
olist_all,lambda_hybrid_0.75,1,0.0292800,0.0292781,-1.932e-06,False,True
olist_all,pop_global,2,0.0069000,0.0068950,-4.996e-06,False,True
olist_all,recency_pop_0.1,2,0.0021100,0.0021101,1.330e-07,True,True
olist_all,recency_pop_0.5,2,0.0047800,0.0047849,4.871e-06,False,True
olist_all,recency_pop_1.0,2,0.0046400,0.0046383,-1.696e-06,False,True
olist_all,pop_category,2,0.0071300,0.0071269,-3.145e-06,False,True
