n_items,entropy,zipf_s,n_phi0.0,headroom_full_phi0.0,headroom_phi0.0,phi0.0_mean_phi_eff,n_phi0.25,headroom_full_phi0.25,headroom_phi0.25,phi0.25_mean_phi_eff,n_phi0.5,headroom_full_phi0.5,headroom_phi0.5,phi0.5_mean_phi_eff,n_phi1.0,headroom_full_phi1.0,headroom_phi1.0,phi1.0_mean_phi_eff,winner_k5_phi0,winner_k5_phi1,content_or_hybrid_overtakes_at_phi_gt0,min_phi_eff_overtake,min_phi_nom_overtake,delta_hf_phi1_minus_phi0,n_cells_delta_dominant
20,HIGH,0.5,2,-0.209921,-0.214142,0.000000,2,-0.209884,-0.215014,0.250000,3,-0.196206,-0.200441,0.453900,2,-0.203299,-0.208707,0.523050,pop_global,pop_global,False,none,none,0.006621,0
20,HIGH,1.5,2,-0.137382,-0.136123,0.000000,2,-0.133529,-0.133272,0.250000,3,-0.139634,-0.138510,0.500000,2,-0.130601,-0.130711,0.663350,pop_global,pop_global,False,none,none,0.006782,0
20,LOW,0.5,2,-0.173536,-0.172171,0.000000,2,-0.170754,-0.171721,0.250000,3,-0.175241,-0.176520,0.460067,2,-0.167791,-0.168557,0.405600,pop_global,pop_category,False,none,none,0.005745,0
20,LOW,1.5,2,-0.167370,-0.169288,0.000000,2,-0.160232,-0.161825,0.250000,3,-0.146893,-0.146362,0.500000,2,-0.142438,-0.141867,0.575000,pop_global,pop_price,False,none,none,0.024931,0
100,HIGH,0.5,2,-0.211141,-0.211065,0.000000,2,-0.211068,-0.209259,0.250000,3,-0.219982,-0.220191,0.500000,2,-0.196100,-0.196490,0.746400,pop_global,pop_global,False,none,none,0.015041,0
100,HIGH,1.5,2,-0.131229,-0.134484,0.000000,2,-0.127751,-0.128906,0.250000,3,-0.133269,-0.133178,0.500000,2,-0.097981,-0.097669,1.000000,pop_category,pop_global,False,none,none,0.033249,2
100,LOW,0.5,2,-0.200624,-0.200271,0.000000,2,-0.195430,-0.195041,0.250000,3,-0.216744,-0.219048,0.500000,2,-0.187694,-0.185866,0.640750,pop_global,pop_global,False,none,none,0.012930,0
100,LOW,1.5,2,-0.122720,-0.121796,0.000000,2,-0.120284,-0.119986,0.250000,3,-0.116538,-0.113115,0.500000,2,-0.090923,-0.086992,1.000000,recency_pop_0.1,pop_global,False,none,none,0.031797,2
500,HIGH,0.5,2,-0.221662,-0.221419,0.000000,2,-0.218794,-0.220542,0.250000,3,-0.224673,-0.224181,0.472900,2,-0.211419,-0.211461,0.956450,pop_global,pop_global,False,none,none,0.010243,0
500,HIGH,1.5,2,-0.108516,-0.091231,0.000000,2,-0.104748,-0.087976,0.250000,3,-0.092648,-0.079798,0.500000,2,-0.086191,-0.078610,1.000000,pop_global,lambda_hybrid_0.25,False,none,none,0.022325,2
500,LOW,0.5,2,-0.199758,-0.201209,0.000000,2,-0.201267,-0.202875,0.250000,3,-0.218353,-0.218772,0.457100,2,-0.202571,-0.204161,0.474800,pop_scaled_content,pop_scaled_content,False,none,none,-0.002813,0
500,LOW,1.5,2,-0.124046,-0.121812,0.000000,2,-0.125349,-0.119436,0.250000,3,-0.106705,-0.104785,0.500000,2,-0.106060,-0.102986,1.000000,pop_scaled_content,lambda_hybrid_0.25,False,none,none,0.017987,1
